Day;TMean;TMax;TMin;RHMean;RHMax;RHMmin;Rain;VMean;VMax;VDir;Rad;Eto
01-01-2017;25.0;30.9;20.1;73.6;91.9;48.9;0.0;1.6;7.4;SO;28.48;5.57
02-01-2017;24.6;30.3;20.2;75.3;93.5;52.5;0.0;1.4;6.5;O;22.78;4.45
03-01-2017;25.6;33.5;22.0;70.6;84.1;38.0;0.0;2.5;8.5;SE;22.31;4.22
04-01-2017;23.8;29.0;19.7;77.0;91.7;56.4;0.0;3.0;9.5;NE;26.29;4.69
05-01-2017;22.8;26.0;20.8;87.3;94.6;73.4;2.4;1.0;6.1;NE;9.49;1.81
06-01-2017;24.9;32.0;20.6;74.2;91.6;45.6;0.6;2.0;8.8;S;23.60;4.51
07-01-2017;25.5;32.6;20.3;74.2;94.9;41.4;0.0;2.1;7.3;S;27.26;5.24
08-01-2017;25.2;33.6;20.7;74.0;92.8;46.0;0.0;1.8;11.3;L;24.18;4.68
09-01-2017;23.6;30.8;19.9;83.0;97.9;60.1;9.4;2.1;9.4;N;18.41;3.40
10-01-2017;23.3;29.4;19.6;85.1;98.6;56.1;0.6;1.5;6.4;O;21.39;4.07
11-01-2017;23.1;28.2;19.7;87.8;98.8;65.4;32.8;1.8;5.9;N;20.45;3.80
12-01-2017;22.4;28.8;18.9;88.8;97.6;65.3;2.6;2.2;7.9;SE;13.46;2.41
13-01-2017;21.7;26.6;18.8;89.7;98.6;66.6;0.2;1.9;6.1;L;11.73;2.10
14-01-2017;23.6;31.1;18.4;80.6;98.7;49.2;3.6;1.3;5.5;N;25.26;4.88
15-01-2017;22.6;30.3;19.3;88.5;98.6;57.1;12.0;1.8;8.8;NE;23.32;4.31
16-01-2017;22.8;28.8;20.2;87.5;98.7;63.0;0.0;2.8;8.3;N;21.93;3.85
17-01-2017;21.0;25.1;19.6;95.8;99.1;82.3;16.0;2.6;8.2;N;10.39;1.90
18-01-2017;19.9;22.0;18.7;99.4;100.0;93.9;28.8;1.7;6.5;NE;4.52;1.10
19-01-2017;20.6;25.3;18.7;93.3;100.0;61.5;14.4;1.2;7.3;S;11.78;2.59
20-01-2017;21.1;26.5;18.5;86.3;100.0;52.3;21.6;1.0;4.6;S;13.95;3.03
21-01-2017;20.9;25.2;18.3;87.1;100.0;61.4;0.6;1.3;6.7;NE;13.68;2.75
22-01-2017;20.1;25.4;18.0;91.6;100.0;59.9;10.0;1.6;6.7;L;15.01;3.24
23-01-2017;21.0;26.9;17.6;82.6;99.5;50.8;0.2;1.6;7.1;NE;18.57;3.91
24-01-2017;22.3;28.5;18.8;83.7;98.7;52.3;2.4;1.7;8.8;N;22.81;4.67
25-01-2017;22.1;28.6;19.4;86.7;100.0;53.1;12.8;1.8;8.0;N;18.95;4.09
26-01-2017;20.6;23.2;19.0;94.2;100.0;78.4;5.2;1.1;7.7;N;6.67;1.40
27-01-2017;21.4;26.0;19.3;85.1;97.9;58.7;3.2;1.3;5.5;SO;12.62;2.67
28-01-2017;24.4;31.1;19.0;73.0;95.4;43.2;0.0;3.0;9.1;SE;27.42;5.88
29-01-2017;24.5;30.5;19.9;64.2;97.3;27.7;0.0;2.8;7.3;SE;27.65;5.94
30-01-2017;24.4;30.5;20.0;69.0;94.9;41.0;0.0;3.3;8.2;L;29.04;1.65
31-01-2017;21.5;29.4;17.7;79.3;99.2;46.9;10.2;2.8;8.0;L;15.32;4.15
01-02-2017;21.1;28.3;17.6;82.0;97.9;44.0;3.0;1.8;5.8;NE;16.74;3.56
02-02-2017;20.6;27.5;17.3;89.4;100.0;58.3;35.4;2.2;9.7;N;16.22;3.49
03-02-2017;21.5;27.4;18.2;88.7;100.0;60.0;9.0;1.9;7.1;NE;16.62;3.29
04-02-2017;23.4;30.1;19.1;79.2;99.6;44.5;0.0;1.5;6.2;NO;24.15;4.37
05-02-2017;22.8;29.9;19.9;81.8;97.2;52.2;1.0;1.8;7.1;N;22.19;4.15
06-02-2017;23.5;31.3;19.0;79.1;97.7;46.8;5.6;2.0;11.6;NE;24.50;4.82
07-02-2017;24.1;31.9;18.7;76.7;98.9;45.1;1.0;1.7;9.2;SE;22.61;4.27
08-02-2017;24.2;31.0;19.0;72.8;94.7;43.8;0.0;3.2;7.9;SE;26.72;5.36
09-02-2017;23.2;30.0;18.0;70.1;92.0;45.2;0.0;3.1;7.6;SE;24.39;4.83
10-02-2017;23.8;29.7;18.3;69.7;89.9;45.9;0.0;3.1;8.5;L;27.00;5.33
11-02-2017;24.3;29.8;19.8;68.4;84.5;46.4;0.0;3.0;8.6;L;26.22;5.34
12-02-2017;24.1;30.8;19.9;70.6;95.1;44.7;0.0;2.6;8.0;NE;24.85;4.94
13-02-2017;26.3;31.3;19.8;54.2;69.8;42.8;0.0;3.6;8.8;NE;26.69;4.92
14-02-2017;24.6;30.9;19.8;61.3;79.8;39.0;0.0;3.2;10.1;L;25.24;4.57
15-02-2017;25.6;32.6;20.3;60.4;77.6;37.8;0.0;2.4;7.7;L;26.81;5.11
16-02-2017;25.9;32.0;20.3;61.4;83.7;39.3;0.0;1.4;6.1;NE;24.92;4.98
17-02-2017;24.5;31.0;21.3;74.0;95.7;47.5;5.6;1.5;7.7;O;17.90;3.47
18-02-2017;24.0;31.7;19.0;78.9;97.7;43.5;37.6;1.7;14.2;NO;25.55;4.88
19-02-2017;25.6;32.7;19.7;71.3;96.6;42.8;0.0;1.7;5.5;SE;26.21;5.13
20-02-2017;26.5;33.2;22.2;61.4;84.6;31.6;0.0;2.5;7.0;SE;28.05;5.40
21-02-2017;25.5;32.0;21.1;60.0;86.4;35.4;0.0;3.1;9.1;L;28.25;5.21
22-02-2017;25.2;32.0;20.3;59.2;76.9;35.6;0.0;2.4;7.4;L;25.75;4.88
23-02-2017;25.6;31.6;19.8;56.2;76.6;35.2;0.0;1.5;5.8;NE;26.68;5.30
24-02-2017;23.4;29.0;18.0;73.5;98.8;51.0;6.8;2.1;7.7;O;19.20;3.56
25-02-2017;20.2;24.4;17.7;88.9;98.9;66.4;2.4;2.0;5.6;NE;12.32;2.13
26-02-2017;20.9;27.3;18.3;86.5;98.7;55.7;2.4;1.5;6.8;NE;15.43;2.79
27-02-2017;22.6;30.1;18.1;79.9;98.0;45.8;0.0;1.5;5.6;NE;22.48;4.22
28-02-2017;23.1;29.6;19.0;81.1;98.9;49.4;0.0;1.3;5.8;N;21.00;4.02
01-03-2017;22.7;29.2;19.4;83.8;98.4;53.5;8.0;1.8;7.7;NE;21.05;3.89
02-03-2017;21.7;27.2;19.9;91.2;98.7;66.7;8.6;1.6;7.0;NE;12.68;2.31
03-03-2017;22.0;27.7;20.1;89.8;99.1;64.8;11.2;1.4;8.8;NE;13.75;2.55
04-03-2017;22.6;28.4;19.3;87.3;98.5;62.3;4.8;1.4;7.1;NO;19.12;3.59
05-03-2017;21.6;27.0;19.1;94.7;99.4;68.0;32.3;1.7;9.1;N;11.07;1.99
06-03-2017;22.4;28.3;18.5;88.3;99.3;56.1;13.0;1.4;12.7;NE;15.93;2.98
07-03-2017;23.5;30.4;19.3;81.2;96.4;49.6;9.4;1.8;6.1;L;19.39;3.64
08-03-2017;23.4;30.4;20.0;80.8;95.2;50.8;1.0;2.2;7.6;L;17.75;3.25
09-03-2017;24.4;30.7;19.2;77.1;95.7;52.6;0.0;2.5;7.7;NE;24.13;4.47
10-03-2017;25.6;31.4;21.2;70.8;86.5;48.7;0.0;2.0;8.6;L;23.45;4.54
11-03-2017;25.6;32.5;20.8;68.8;86.1;45.2;0.0;2.6;6.8;SE;24.36;4.59
12-03-2017;25.6;31.0;20.8;64.4;90.5;38.5;0.0;1.9;7.9;NE;22.59;4.39
13-03-2017;24.0;29.9;19.6;72.2;93.5;45.6;0.0;2.3;10.3;S;17.07;3.16
14-03-2017;23.4;31.7;19.5;75.7;93.9;39.8;7.6;3.6;9.4;L;22.94;3.96
