Dia;TMedia;TMax;TMin;RHMedia;RHMax;RHMmin;Chuva;VMed;VMax;VDir;RadS;Eto
01-01-2011;22.0;28.5;18.3;86.0;100.0;51.8;9.4;1.1;5.2;SE;15.70;2.97
02-01-2011;20.9;26.4;19.5;97.5;100.0;64.5;10.8;0.7;6.2;NE;12.17;2.31
03-01-2011;19.7;20.6;19.0;100.0;100.0;100.0;63.4;1.1;6.4;N;5.54;0.97
04-01-2011;21.5;26.0;19.3;95.8;100.0;69.5;15.2;0.7;5.0;N;14.96;2.86
05-01-2011;22.9;29.1;19.0;87.1;100.0;53.7;7.8;0.9;5.0;N;21.10;4.13
06-01-2011;21.9;28.4;18.5;93.4;100.0;54.8;4.2;0.6;6.4;NE;14.77;2.88
07-01-2011;21.5;27.2;18.8;93.3;100.0;60.2;10.0;0.6;4.4;NE;12.96;2.50
08-01-2011;21.1;27.1;18.7;96.2;100.0;64.4;9.4;0.4;4.1;NE;9.24;1.78
09-01-2011;21.4;26.9;19.3;94.9;100.0;63.9;4.2;0.6;5.6;NE;14.24;2.75
10-01-2011;22.6;29.5;18.5;87.5;100.0;51.6;0.0;0.8;6.4;N;22.36;4.37
11-01-2011;21.7;26.1;19.4;95.9;100.0;70.1;31.6;1.0;7.4;N;11.01;2.07
12-01-2011;21.8;27.4;18.3;96.0;100.0;66.5;50.6;1.1;6.8;NO;13.33;2.50
13-01-2011;21.0;24.6;19.7;100.0;100.0;81.9;52.0;1.0;5.9;NO;6.91;1.27
14-01-2011;22.2;28.5;19.1;93.6;100.0;61.5;21.0;1.1;5.5;NO;17.90;3.40
15-01-2011;22.5;28.7;17.3;89.1;100.0;57.3;1.0;0.5;4.1;SE;19.49;3.87
16-01-2011;23.0;31.6;19.0;86.4;100.0;45.2;27.6;0.9;10.9;N;26.95;5.29
17-01-2011;22.0;26.4;19.2;92.8;100.0;62.0;15.4;0.7;5.0;NO;16.08;3.12
18-01-2011;21.7;28.5;18.8;96.0;100.0;61.9;17.6;0.5;10.3;L;12.91;2.50
19-01-2011;22.5;28.4;19.0;92.2;100.0;58.4;3.0;0.5;8.2;NO;17.92;3.54
20-01-2011;22.0;27.0;19.1;94.6;100.0;66.8;3.8;0.6;4.3;NO;14.35;2.80
21-01-2011;24.8;31.5;19.4;78.1;100.0;36.8;0.0;0.6;5.5;L;23.40;4.77
22-01-2011;24.7;32.4;19.2;75.9;100.0;35.3;6.0;0.8;7.0;L;26.62;5.37
23-01-2011;24.4;32.0;18.8;78.1;100.0;40.3;0.8;0.9;7.1;O;26.40;5.27
24-01-2011;25.4;32.5;19.8;70.3;97.4;40.1;0.0;0.9;4.3;L;26.38;5.38
25-01-2011;24.3;31.4;19.5;77.1;100.0;45.7;2.4;1.0;5.5;NE;22.64;4.51
26-01-2011;24.1;31.6;18.1;78.3;100.0;41.9;0.0;0.9;7.1;NO;24.16;4.82
27-01-2011;25.4;32.2;20.0;73.0;100.0;36.6;0.0;0.9;5.3;O;25.29;5.13
28-01-2011;24.5;31.7;18.7;75.1;100.0;41.4;0.2;0.8;5.6;SO;23.92;4.82
29-01-2011;24.7;32.5;18.7;75.5;100.0;39.8;6.0;1.0;8.5;O;23.87;4.78
30-01-2011;24.8;32.7;17.9;73.5;100.0;40.7;0.0;0.7;3.7;SO;25.91;5.28
31-01-2011;23.3;32.0;18.8;80.5;100.0;44.4;4.6;0.9;7.9;S;17.75;3.48
01-02-2011;21.4;25.7;18.4;88.9;100.0;56.0;0.0;0.4;4.6;O;9.51;1.84
02-02-2011;21.6;29.5;18.1;90.8;100.0;53.2;29.8;0.5;5.6;O;12.96;2.52
03-02-2011;21.7;28.6;18.1;90.6;100.0;54.9;0.0;0.4;3.1;L;12.75;2.49
04-02-2011;22.2;29.5;18.3;91.0;100.0;54.5;58.0;0.7;5.6;SO;16.12;3.13
05-02-2011;23.1;30.9;17.5;78.8;100.0;43.3;0.6;0.9;6.5;NO;22.22;4.36
06-02-2011;24.5;32.2;17.9;73.6;100.0;36.2;0.0;0.8;5.3;NO;26.19;5.29
07-02-2011;22.7;30.9;18.9;82.2;100.0;42.9;4.6;0.7;5.2;S;14.46;2.83
08-02-2011;24.0;31.2;18.2;77.4;100.0;41.7;0.0;0.9;6.1;NO;26.16;5.22
09-02-2011;24.2;31.5;18.3;77.6;100.0;36.7;0.0;0.9;6.8;NO;24.58;4.91
10-02-2011;24.2;30.4;19.5;75.5;100.0;46.8;0.0;0.8;9.8;O;19.83;3.96
11-02-2011;23.4;29.6;18.9;82.4;100.0;52.6;0.0;0.3;4.1;O;18.15;3.67
12-02-2011;23.4;32.5;18.2;80.9;100.0;38.1;7.8;0.6;5.6;N;24.31;4.86
13-02-2011;22.9;29.7;17.9;83.1;100.0;49.3;0.0;0.4;4.3;N;18.69;3.73
14-02-2011;21.9;28.0;18.6;90.6;100.0;56.1;0.8;0.5;7.0;SO;12.67;2.47
15-02-2011;22.9;28.2;19.5;84.4;100.0;51.4;0.4;0.5;3.8;O;16.11;3.20
16-02-2011;22.1;30.8;18.9;88.6;100.0;45.2;41.0;1.0;8.8;SE;16.68;3.19
17-02-2011;21.8;28.9;18.0;87.4;100.0;50.8;3.0;0.9;7.0;L;20.74;3.97
18-02-2011;22.3;29.1;18.6;82.1;100.0;48.4;0.8;1.0;5.8;L;17.85;3.42
19-02-2011;23.3;30.9;19.0;75.2;100.0;35.3;6.4;1.0;5.6;L;22.88;4.48
20-02-2011;24.6;32.4;18.3;69.3;100.0;27.7;0.0;0.8;4.6;SE;26.31;5.30
21-02-2011;24.3;32.5;18.7;66.6;100.0;34.1;2.4;0.9;12.7;L;23.86;4.77
22-02-2011;23.3;30.4;18.8;81.8;100.0;48.2;10.6;0.6;5.8;O;21.10;4.22
23-02-2011;23.0;31.1;18.8;85.0;100.0;46.3;51.6;0.8;6.4;O;23.78;4.69
24-02-2011;22.9;29.8;18.4;89.1;100.0;48.7;4.6;0.6;4.1;L;21.92;4.35
25-02-2011;23.6;30.3;19.3;86.2;100.0;49.8;0.6;0.6;4.6;SO;18.72;3.75
26-02-2011;23.7;31.2;19.2;86.4;100.0;47.6;63.4;0.7;5.0;NE;19.78;3.95
27-02-2011;21.5;28.5;19.1;95.3;100.0;60.1;36.2;0.9;5.3;SE;13.47;2.55
28-02-2011;20.3;22.0;19.0;100.0;100.0;87.3;4.8;0.8;5.8;SE;5.41;0.98
01-03-2011;19.7;22.7;18.5;99.6;100.0;82.7;24.4;1.4;5.9;SE;7.95;1.39
02-03-2011;20.0;23.6;18.5;99.8;100.0;75.5;15.2;1.2;4.6;SE;7.16;1.27
03-03-2011;18.4;19.2;17.6;100.0;100.0;100.0;35.2;1.0;5.0;L;4.08;0.69
04-03-2011;18.4;19.4;17.3;100.0;100.0;100.0;25.6;1.2;4.4;L;6.04;1.03
05-03-2011;18.7;20.4;17.8;100.0;100.0;100.0;27.4;1.3;4.6;L;5.18;0.87
