Day;TMean;TMax;TMin;RHMean;RHMax;RHMmin;Rain;VMean;VMax;VDir;Rad;Eto
01-01-2020;22.2;28.7;18.0;89.1;99.6;57.8;30.8;1.9;10.0;NE;16.73;3.03
02-01-2020;21.0;26.2;18.1;91.7;99.6;65.9;10.2;2.1;7.0;SE;14.53;2.54
03-01-2020;21.8;27.6;17.3;85.5;99.6;59.7;35.4;2.3;10.4;S;20.60;3.65
04-01-2020;21.1;28.8;17.7;91.4;99.6;56.3;13.2;2.1;10.7;NE;19.29;3.38
05-01-2020;22.2;28.5;17.2;88.1;99.6;55.5;4.2;1.6;9.2;N;24.49;4.54
06-01-2020;23.5;29.9;19.3;86.5;99.6;57.2;26.0;1.9;8.9;N;23.80;4.44
07-01-2020;22.6;28.5;19.6;94.2;99.6;66.4;4.8;1.6;5.8;N;18.83;3.49
08-01-2020;22.5;27.5;20.0;95.3;99.6;73.2;0.4;1.1;8.3;N;12.65;2.40
09-01-2020;24.0;29.7;19.7;84.7;99.6;50.9;0.2;1.2;7.4;NO;22.34;4.36
10-01-2020;24.5;29.0;21.1;86.5;99.5;59.4;3.0;1.2;7.7;SO;21.09;4.16
11-01-2020;24.2;32.0;20.2;86.6;99.6;49.1;28.2;1.4;10.6;SO;22.58;4.38
12-01-2020;23.1;27.2;20.4;89.9;99.5;66.0;0.0;2.1;6.2;S;17.57;3.20
13-01-2020;23.5;29.2;19.3;85.6;99.5;55.3;0.0;1.8;5.6;SE;17.70;3.31
14-01-2020;26.1;32.2;20.4;72.8;99.5;42.3;0.0;1.7;6.8;SO;29.11;5.74
15-01-2020;26.9;33.2;21.3;69.1;99.5;38.6;0.0;1.6;8.5;O;25.95;5.22
16-01-2020;22.5;27.2;18.2;87.0;99.5;68.0;0.0;3.9;8.8;S;20.56;3.39
17-01-2020;22.8;29.6;17.6;80.2;96.9;56.8;0.0;3.3;7.9;SE;24.19;4.15
18-01-2020;23.7;31.8;18.4;82.1;99.5;48.2;0.0;2.5;7.7;SE;21.19;3.86
19-01-2020;22.7;29.7;18.9;88.0;99.5;59.0;42.8;2.4;7.6;SE;18.87;3.37
20-01-2020;22.6;30.4;16.7;80.7;99.5;50.8;0.0;2.3;8.0;SE;24.33;4.39
21-01-2020;21.7;27.7;18.4;88.8;99.5;64.4;5.8;3.0;8.9;SE;17.31;2.93
22-01-2020;20.0;22.6;18.8;99.3;99.5;93.8;31.6;1.8;5.5;SE;7.29;1.24
23-01-2020;20.9;26.0;17.1;87.6;99.6;61.2;0.6;2.7;8.3;S;24.19;4.10
24-01-2020;21.4;28.0;15.9;73.4;99.1;43.9;0.0;2.0;6.5;S;29.15;5.21
25-01-2020;23.7;29.9;17.1;56.1;85.1;32.7;0.0;1.3;5.6;S;26.69;5.19
26-01-2020;25.6;31.3;19.8;45.0;61.0;33.6;0.0;1.6;6.8;S;30.59;6.04
27-01-2020;25.2;31.5;20.6;63.9;93.6;41.7;0.0;1.7;8.2;L;27.72;5.41
28-01-2020;22.8;27.6;20.2;89.2;99.5;65.3;2.8;2.4;7.3;NE;21.19;3.80
29-01-2020;22.1;27.3;20.2;96.0;99.5;73.5;1.8;1.7;7.1;N;10.92;1.98
30-01-2020;22.7;27.7;19.7;88.8;99.6;65.5;1.8;2.2;6.7;NO;18.44;3.33
31-01-2020;21.7;26.8;19.5;96.1;99.6;75.1;17.8;0.9;8.6;SO;11.08;2.09
01-02-2020;23.1;28.5;19.4;88.4;99.6;55.7;0.2;0.8;7.1;SO;18.81;3.70
02-02-2020;22.3;28.9;19.4;91.4;99.5;60.2;0.4;1.6;8.9;SE;14.04;2.59
03-02-2020;22.6;29.5;19.5;89.4;99.5;50.5;15.4;2.0;8.5;L;20.34;3.70
04-02-2020;22.2;28.7;19.6;91.6;99.6;58.2;23.0;1.2;7.1;NE;19.51;3.69
05-02-2020;21.3;26.4;19.5;95.9;99.6;71.3;36.6;0.8;7.1;NE;11.93;2.26
06-02-2020;20.6;26.6;18.0;93.1;99.6;64.3;5.4;2.7;9.2;L;18.94;3.18
07-02-2020;22.3;27.5;18.6;85.8;99.5;59.8;0.6;2.4;8.6;NE;22.63;4.01
08-02-2020;21.1;24.9;19.5;95.6;99.6;78.4;7.6;2.8;8.6;N;13.30;2.23
09-02-2020;20.8;22.4;19.8;99.5;99.6;99.2;33.6;1.8;8.2;N;5.67;0.98
10-02-2020;19.2;22.0;17.0;98.4;99.6;90.9;15.4;2.4;8.0;S;11.88;1.95
11-02-2020;19.2;23.0;16.5;95.0;99.5;83.1;0.0;3.0;7.6;S;12.08;1.92
12-02-2020;20.9;27.9;16.3;85.7;99.6;49.8;0.0;2.0;7.0;S;16.80;2.96
13-02-2020;23.0;29.9;17.3;78.3;99.5;45.0;0.0;2.0;8.6;S;25.48;4.71
14-02-2020;24.8;30.9;20.0;74.0;94.6;48.6;0.0;1.7;7.0;SE;25.25;4.89
15-02-2020;25.2;31.3;20.1;73.8;97.1;46.3;0.0;1.7;6.4;SE;26.17;5.11
